date,entry_time,exit_time,underlying,expiry,strike,option_type,instrument_key,entry_price,exit_price,quantity,setup_score,confidence,stop_loss,target,exit_reason,gross_pnl,brokerage,stt,exchange_charges,sebi_charges,gst,stamp_duty,slippage,total_cost,net_pnl
2024-01-01,2024-01-01T14:15:00+05:30,2024-01-01T14:35:00+05:30,BANKEX,2024-01-01,54500.0,INDEX_SPOT,NSE_INDEX|BANKEX,54481.16,54420.72,1,75.0,75.0,,,STOP_LOSS_HIT,-60.44,40.0,13.61,3.54,0.1089,7.86,1.63,10.89,77.64,-138.08
2024-01-01,2024-01-01T14:40:00+05:30,2024-01-01T15:00:00+05:30,BANKEX,2024-01-01,54500.0,INDEX_SPOT,NSE_INDEX|BANKEX,54507.55,54431.38,1,75.0,75.0,,,STOP_LOSS_HIT,-76.17,40.0,13.61,3.54,0.1089,7.86,1.64,10.89,77.65,-153.82
2024-01-03,2024-01-03T13:25:00+05:30,2024-01-03T15:05:00+05:30,BANKEX,2024-01-08,53750.0,INDEX_SPOT,NSE_INDEX|BANKEX,53734.38,53668.46,1,75.0,75.0,,,STOP_LOSS_HIT,-65.92,40.0,13.42,3.49,0.1074,7.85,1.61,10.74,77.22,-143.14
2024-01-03,2024-01-03T15:15:00+05:30,2024-01-04T09:15:00+05:30,BANKEX,2024-01-08,53750.0,INDEX_SPOT,NSE_INDEX|BANKEX,53741.48,53778.38,1,75.0,75.0,,,TRAILING_STOP_HIT,36.9,40.0,13.44,3.49,0.1075,7.85,1.61,10.75,77.25,-40.35
2024-01-04,2024-01-04T09:20:00+05:30,2024-01-04T09:35:00+05:30,BANKEX,2024-01-08,53850.0,INDEX_SPOT,NSE_INDEX|BANKEX,53844.55,53844.55,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.46,3.5,0.1077,7.85,1.62,10.77,77.31,-77.31
2024-01-04,2024-01-04T09:40:00+05:30,2024-01-04T10:25:00+05:30,BANKEX,2024-01-08,53950.0,INDEX_SPOT,NSE_INDEX|BANKEX,53931.83,53976.29,1,75.0,75.0,,,TRAILING_STOP_HIT,44.46,40.0,13.49,3.51,0.1079,7.85,1.62,10.79,77.37,-32.91
2024-01-04,2024-01-04T10:30:00+05:30,2024-01-04T11:05:00+05:30,BANKEX,2024-01-08,54000.0,INDEX_SPOT,NSE_INDEX|BANKEX,53984.95,54147.11,1,75.0,75.0,,,TARGET_HIT,162.16,40.0,13.54,3.51,0.1081,7.85,1.62,10.81,77.44,84.72
2024-01-04,2024-01-04T11:30:00+05:30,2024-01-04T13:30:00+05:30,BANKEX,2024-01-08,54150.0,INDEX_SPOT,NSE_INDEX|BANKEX,54148.39,54189.41,1,75.0,75.0,,,TRAILING_STOP_HIT,41.02,40.0,13.55,3.52,0.1083,7.85,1.62,10.83,77.48,-36.46
2024-01-04,2024-01-04T13:45:00+05:30,2024-01-04T14:00:00+05:30,BANKEX,2024-01-08,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54208.55,54133.72,1,75.0,75.0,,,STOP_LOSS_HIT,-74.83,40.0,13.53,3.52,0.1083,7.85,1.63,10.83,77.47,-152.3
2024-01-04,2024-01-04T14:40:00+05:30,2024-01-04T15:25:00+05:30,BANKEX,2024-01-08,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54190.8,54328.7,1,75.0,75.0,,,TARGET_HIT,137.9,40.0,13.58,3.53,0.1085,7.85,1.63,10.85,77.55,60.35
2024-01-05,2024-01-05T09:15:00+05:30,2024-01-05T10:40:00+05:30,BANKEX,2024-01-08,54400.0,INDEX_SPOT,NSE_INDEX|BANKEX,54394.6,54310.83,1,75.0,75.0,,,STOP_LOSS_HIT,-83.77,40.0,13.58,3.53,0.1087,7.85,1.63,10.87,77.57,-161.34
2024-01-08,2024-01-08T09:15:00+05:30,2024-01-08T09:35:00+05:30,BANKEX,2024-01-08,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54213.13,54121.48,1,75.0,75.0,,,EMA_TREND_REVERSED — EMA20 crossed below EMA50,-91.65,40.0,13.53,3.52,0.1083,7.85,1.63,10.83,77.47,-169.12
2024-01-09,2024-01-09T10:30:00+05:30,2024-01-09T14:10:00+05:30,BANKEX,2024-01-15,53950.0,INDEX_SPOT,NSE_INDEX|BANKEX,53959.17,53834.54,1,75.0,75.0,,,STOP_LOSS_HIT,-124.63,40.0,13.46,3.5,0.1078,7.85,1.62,10.78,77.32,-201.95
2024-01-10,2024-01-10T14:55:00+05:30,2024-01-11T09:15:00+05:30,BANKEX,2024-01-15,53350.0,INDEX_SPOT,NSE_INDEX|BANKEX,53351.92,53551.93,1,75.0,75.0,,,TARGET_HIT,200.01,40.0,13.39,3.47,0.1069,7.84,1.6,10.69,77.1,122.91
2024-01-11,2024-01-11T09:25:00+05:30,2024-01-11T09:35:00+05:30,BANKEX,2024-01-15,53700.0,INDEX_SPOT,NSE_INDEX|BANKEX,53706.29,53591.24,1,75.0,75.0,,,STOP_LOSS_HIT,-115.05,40.0,13.4,3.49,0.1073,7.85,1.61,10.73,77.19,-192.24
2024-01-11,2024-01-11T09:40:00+05:30,2024-01-11T14:10:00+05:30,BANKEX,2024-01-15,53550.0,INDEX_SPOT,NSE_INDEX|BANKEX,53566.39,53445.37,1,75.0,75.0,,,STOP_LOSS_HIT,-121.02,40.0,13.36,3.48,0.107,7.85,1.61,10.7,77.11,-198.13
2024-01-12,2024-01-12T09:55:00+05:30,2024-01-12T10:00:00+05:30,BANKEX,2024-01-15,53550.0,INDEX_SPOT,NSE_INDEX|BANKEX,53542.4,53542.4,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.39,3.48,0.1071,7.85,1.61,10.71,77.15,-77.15
2024-01-12,2024-01-12T10:05:00+05:30,2024-01-12T12:00:00+05:30,BANKEX,2024-01-15,53700.0,INDEX_SPOT,NSE_INDEX|BANKEX,53689.57,53689.57,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.42,3.49,0.1074,7.85,1.61,10.74,77.22,-77.22
2024-01-12,2024-01-12T12:20:00+05:30,2024-01-12T13:35:00+05:30,BANKEX,2024-01-15,53750.0,INDEX_SPOT,NSE_INDEX|BANKEX,53725.24,53891.8,1,75.0,75.0,,,TARGET_HIT,166.56,40.0,13.47,3.5,0.1076,7.85,1.61,10.76,77.3,89.26
2024-01-12,2024-01-12T13:40:00+05:30,2024-01-12T14:05:00+05:30,BANKEX,2024-01-15,53950.0,INDEX_SPOT,NSE_INDEX|BANKEX,53938.62,53849.99,1,75.0,75.0,,,STOP_LOSS_HIT,-88.63,40.0,13.46,3.5,0.1078,7.85,1.62,10.78,77.32,-165.95
2024-01-12,2024-01-12T14:10:00+05:30,2024-01-12T14:45:00+05:30,BANKEX,2024-01-15,53900.0,INDEX_SPOT,NSE_INDEX|BANKEX,53880.54,53880.54,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.47,3.5,0.1078,7.85,1.62,10.78,77.33,-77.33
2024-01-12,2024-01-12T14:50:00+05:30,2024-01-12T15:05:00+05:30,BANKEX,2024-01-15,53900.0,INDEX_SPOT,NSE_INDEX|BANKEX,53916.41,53808.92,1,75.0,75.0,,,STOP_LOSS_HIT,-107.49,40.0,13.45,3.5,0.1077,7.85,1.62,10.77,77.3,-184.79
2024-01-15,2024-01-15T09:15:00+05:30,2024-01-15T09:50:00+05:30,BANKEX,2024-01-15,54050.0,INDEX_SPOT,NSE_INDEX|BANKEX,54060.05,54060.05,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.52,3.51,0.1081,7.85,1.62,10.81,77.42,-77.42
2024-01-15,2024-01-15T10:05:00+05:30,2024-01-15T13:45:00+05:30,BANKEX,2024-01-15,54050.0,INDEX_SPOT,NSE_INDEX|BANKEX,54074.59,54142.37,1,75.0,75.0,,,TRAILING_STOP_HIT,67.78,40.0,13.54,3.52,0.1082,7.85,1.62,10.82,77.46,-9.68
2024-01-15,2024-01-15T14:00:00+05:30,2024-01-15T14:30:00+05:30,BANKEX,2024-01-15,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54204.55,54113.6,1,75.0,75.0,,,STOP_LOSS_HIT,-90.95,40.0,13.53,3.52,0.1083,7.85,1.63,10.83,77.47,-168.42
2024-01-15,2024-01-15T14:50:00+05:30,2024-01-15T14:55:00+05:30,BANKEX,2024-01-15,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54221.8,54126.15,1,75.0,75.0,,,STOP_LOSS_HIT,-95.65,40.0,13.53,3.52,0.1083,7.85,1.63,10.83,77.47,-173.12
2024-01-15,2024-01-15T15:05:00+05:30,2024-01-16T09:15:00+05:30,BANKEX,2024-01-15,54200.0,INDEX_SPOT,NSE_INDEX|BANKEX,54219.64,54219.64,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.55,3.52,0.1084,7.85,1.63,10.84,77.5,-77.5
2024-01-16,2024-01-16T09:20:00+05:30,2024-01-16T11:40:00+05:30,BANKEX,2024-01-22,54250.0,INDEX_SPOT,NSE_INDEX|BANKEX,54252.06,54307.74,1,75.0,75.0,,,TRAILING_STOP_HIT,55.68,40.0,13.58,3.53,0.1086,7.85,1.63,10.86,77.56,-21.88
2024-01-16,2024-01-16T12:00:00+05:30,2024-01-16T12:05:00+05:30,BANKEX,2024-01-22,54400.0,INDEX_SPOT,NSE_INDEX|BANKEX,54380.98,54308.04,1,75.0,75.0,,,STOP_LOSS_HIT,-72.94,40.0,13.58,3.53,0.1087,7.85,1.63,10.87,77.57,-150.51
2024-01-16,2024-01-16T12:30:00+05:30,2024-01-16T12:45:00+05:30,BANKEX,2024-01-22,54350.0,INDEX_SPOT,NSE_INDEX|BANKEX,54353.32,54282.63,1,75.0,75.0,,,STOP_LOSS_HIT,-70.69,40.0,13.57,3.53,0.1086,7.85,1.63,10.86,77.55,-148.24
2024-01-18,2024-01-18T12:20:00+05:30,2024-01-18T12:30:00+05:30,BANKEX,2024-01-22,52250.0,INDEX_SPOT,NSE_INDEX|BANKEX,52257.78,52126.7,1,75.0,75.0,,,STOP_LOSS_HIT,-131.08,40.0,13.03,3.39,0.1044,7.83,1.57,10.44,76.36,-207.44
2024-01-19,2024-01-19T09:45:00+05:30,2024-01-19T11:05:00+05:30,BANKEX,2024-01-22,52250.0,INDEX_SPOT,NSE_INDEX|BANKEX,52270.51,52270.51,1,75.0,75.0,,,TRAILING_STOP_HIT,0.0,40.0,13.07,3.4,0.1045,7.83,1.57,10.45,76.42,-76.42
2024-01-20,2024-01-20T10:30:00+05:30,2024-01-20T12:35:00+05:30,BANKEX,2024-01-22,52050.0,INDEX_SPOT,NSE_INDEX|BANKEX,52053.4,51910.49,1,75.0,75.0,,,STOP_LOSS_HIT,-142.91,40.0,12.98,3.38,0.104,7.83,1.56,10.4,76.25,-219.16
2024-01-20,2024-01-20T12:55:00+05:30,2024-01-20T15:05:00+05:30,BANKEX,2024-01-22,52250.0,INDEX_SPOT,NSE_INDEX|BANKEX,52262.28,52103.53,1,75.0,75.0,,,STOP_LOSS_HIT,-158.75,40.0,13.03,3.39,0.1044,7.83,1.57,10.44,76.36,-235.11
2024-01-20,2024-01-20T15:20:00+05:30,2024-01-23T09:15:00+05:30,BANKEX,2024-01-22,52300.0,INDEX_SPOT,NSE_INDEX|BANKEX,52306.56,52616.48,1,75.0,75.0,,,TARGET_HIT,309.92,40.0,13.15,3.41,0.1049,7.83,1.57,10.49,76.55,233.37
2024-01-23,2024-01-23T09:20:00+05:30,2024-01-23T09:50:00+05:30,BANKEX,2024-01-29,52700.0,INDEX_SPOT,NSE_INDEX|BANKEX,52688.97,52487.9,1,75.0,75.0,,,STOP_LOSS_HIT,-201.07,40.0,13.12,3.42,0.1052,7.83,1.58,10.52,76.58,-277.65
2024-01-24,2024-01-24T15:10:00+05:30,2024-01-25T09:15:00+05:30,BANKEX,2024-01-29,51050.0,INDEX_SPOT,NSE_INDEX|BANKEX,51074.06,50914.43,1,75.0,75.0,,,STOP_LOSS_HIT,-159.63,40.0,12.73,3.31,0.102,7.81,1.53,10.2,75.68,-235.31
2024-01-25,2024-01-25T15:15:00+05:30,2024-01-29T09:15:00+05:30,BANKEX,2024-01-29,50850.0,INDEX_SPOT,NSE_INDEX|BANKEX,50840.91,51113.79,1,75.0,75.0,,,TARGET_HIT,272.88,40.0,12.78,3.31,0.102,7.81,1.53,10.2,75.73,197.15
2024-01-29,2024-01-29T10:55:00+05:30,2024-01-29T11:15:00+05:30,BANKEX,2024-01-29,51600.0,INDEX_SPOT,NSE_INDEX|BANKEX,51577.85,51436.65,1,75.0,75.0,,,STOP_LOSS_HIT,-141.2,40.0,12.86,3.35,0.103,7.82,1.55,10.3,75.98,-217.18
2024-01-29,2024-01-29T11:35:00+05:30,2024-01-29T14:55:00+05:30,BANKEX,2024-01-29,51450.0,INDEX_SPOT,NSE_INDEX|BANKEX,51436.3,51290.19,1,75.0,75.0,,,STOP_LOSS_HIT,-146.11,40.0,12.82,3.34,0.1027,7.82,1.54,10.27,75.89,-222.0
2024-01-29,2024-01-29T15:10:00+05:30,2024-01-30T09:15:00+05:30,BANKEX,2024-01-29,51500.0,INDEX_SPOT,NSE_INDEX|BANKEX,51488.6,51554.85,1,75.0,75.0,,,TRAILING_STOP_HIT,66.25,40.0,12.89,3.35,0.103,7.82,1.54,10.3,76.0,-9.75
2024-01-30,2024-01-30T09:20:00+05:30,2024-01-30T09:35:00+05:30,BANKEX,2024-02-05,51500.0,INDEX_SPOT,NSE_INDEX|BANKEX,51516.68,51349.4,1,75.0,75.0,,,STOP_LOSS_HIT,-167.28,40.0,12.84,3.34,0.1029,7.82,1.55,10.29,75.94,-243.22
2024-01-30,2024-01-30T12:05:00+05:30,2024-01-30T14:25:00+05:30,BANKEX,2024-02-05,51400.0,INDEX_SPOT,NSE_INDEX|BANKEX,51410.57,51329.07,1,75.0,75.0,,,EMA_TREND_REVERSED — EMA20 crossed below EMA50,-81.5,40.0,12.83,3.34,0.1027,7.82,1.54,10.27,75.9,-157.4
2024-01-31,2024-01-31T10:10:00+05:30,2024-01-31T10:30:00+05:30,BANKEX,2024-02-05,51850.0,INDEX_SPOT,NSE_INDEX|BANKEX,51827.72,51921.21,1,75.0,75.0,,,TRAILING_STOP_HIT,93.49,40.0,12.98,3.37,0.1037,7.83,1.55,10.37,76.2,17.29
