variant,model,model_description,period,trades,win_rate_pct,gross_pnl,total_cost,net_pnl,final_capital,max_drawdown_pct,profit_factor,expectancy_per_trade,max_position_value,max_quantity,max_lots,max_allocation_pct,max_account_risk_pct,accounting_valid
V8-A,MODEL_1,Unconstrained Compounding,VALIDATION,245,73.47,569346.16,27053.89,542292.32,642292.32,3.06,5.59,2213.44,41749.25,775,31,15.5,3.2,True
V8-A,MODEL_2,Fixed ₹100k Capital,VALIDATION,245,73.47,95760.35,4482.63,91277.72,191277.72,0.95,6.16,372.56,6912.9,75,3,6.91,1.47,True
V8-A,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,245,73.47,1762068.9,70403.42,1691665.48,1791665.48,5.69,5.28,6904.76,254689.0,4500,180,14.67,3.0,True
V8-A,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,245,73.47,277956.45,13141.68,264814.77,364814.77,1.91,5.87,1080.88,14538.0,250,10,14.54,3.0,True
V8-B,MODEL_1,Unconstrained Compounding,VALIDATION,245,55.92,5180.14,5123.11,57.08,100057.08,18.78,1.0,0.23,8376.0,50,2,9.85,2.1,True
V8-B,MODEL_2,Fixed ₹100k Capital,VALIDATION,245,55.92,5690.85,4984.89,705.96,100705.96,17.54,1.01,2.88,8376.0,50,2,8.38,1.77,True
V8-B,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,245,55.92,-25785.8,7213.03,-32998.83,67001.17,46.3,0.8,-134.69,12442.0,125,5,14.4,3.04,True
V8-B,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,245,55.92,-18939.65,11379.55,-30319.2,69680.8,59.27,0.88,-123.75,14466.75,150,6,14.47,3.0,True
V8-C,MODEL_1,Unconstrained Compounding,VALIDATION,228,55.26,-6103.83,5830.0,-11933.8,88066.2,22.57,0.9,-52.34,9802.5,25,1,12.05,2.49,True
V8-C,MODEL_2,Fixed ₹100k Capital,VALIDATION,228,55.26,-6106.0,5830.01,-11936.01,88063.99,22.57,0.9,-52.35,9802.5,25,1,9.8,2.07,True
V8-C,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,228,55.26,-14783.6,7529.39,-22312.99,77687.01,37.55,0.86,-97.86,13628.5,75,3,14.34,2.99,True
V8-C,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,228,55.26,-25615.35,10141.69,-35757.04,64242.96,50.59,0.84,-156.83,14490.0,100,4,14.49,2.99,True
V8-D,MODEL_1,Unconstrained Compounding,VALIDATION,245,73.47,717232.48,33206.05,684026.46,784026.46,2.95,5.78,2791.94,53307.0,975,39,17.84,3.57,True
V8-D,MODEL_2,Fixed ₹100k Capital,VALIDATION,245,73.47,99088.35,4622.41,94465.94,194465.94,0.91,6.22,385.58,6912.9,75,3,6.91,1.38,True
V8-D,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,245,73.47,2152596.5,83508.35,2069088.15,2169088.15,5.65,5.38,8445.26,331688.0,5700,228,15.0,3.0,True
V8-D,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,245,73.47,296726.0,14062.91,282663.09,382663.09,1.85,5.89,1153.73,15000.75,275,11,15.0,3.0,True
V8-E,MODEL_1,Unconstrained Compounding,VALIDATION,246,72.36,432229308.73,19475745.8,412753563.02,412853563.02,3.76,8.35,1677860.01,527523694.2,2283975,136964,6801.37,133.96,True
V8-E,MODEL_2,Fixed ₹100k Capital,VALIDATION,246,72.36,365972.7,19333.76,346638.94,446638.94,0.9,10.9,1409.1,201918.6,1000,66,201.92,2.63,True
V8-E,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,246,72.36,1932438.25,81148.97,1851289.28,1951289.28,7.54,5.22,7525.57,390918.0,6775,271,20.0,3.0,True
V8-E,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,246,72.36,293575.2,14406.76,279168.44,379168.44,2.04,6.51,1134.83,19942.0,350,14,19.94,3.0,True
V8-F,MODEL_1,Unconstrained Compounding,VALIDATION,256,48.83,62432.99,6032.89,56400.12,156400.12,2.68,2.48,220.31,8080.5,150,6,6.85,1.71,True
V8-F,MODEL_2,Fixed ₹100k Capital,VALIDATION,256,48.83,44207.8,4289.87,39917.93,139917.93,2.3,2.52,155.93,6952.65,50,2,6.95,1.74,True
V8-F,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,256,48.83,204771.85,18672.42,186099.43,286099.43,7.28,2.58,726.95,33729.75,625,25,11.98,2.99,True
V8-F,MODEL_4,"20% Allocation + 3% Risk, Fixed Capital",VALIDATION,256,48.83,118231.05,10969.43,107261.62,207261.62,4.7,2.59,418.99,11991.25,200,8,11.99,3.0,True
V8-G,MODEL_1,Unconstrained Compounding,VALIDATION,256,48.83,62432.99,6032.89,56400.12,156400.12,2.68,2.48,220.31,8080.5,150,6,6.85,1.71,True
V8-G,MODEL_2,Fixed ₹100k Capital,VALIDATION,256,48.83,44207.8,4289.87,39917.93,139917.93,2.3,2.52,155.93,6952.65,50,2,6.95,1.74,True
V8-G,MODEL_3,"20% Allocation + 3% Risk, Compounding",VALIDATION,256,48.83,204771.85,18672.42,186099.43,286099.43,7.28,2.58,726.95,33729.75,625,25,11.98,2.99,True
