trade_id,variant,period,date,underlying,signal_bar_timestamp,entry_timestamp,exit_timestamp,option_type,strike,strike_mode,expiry,instrument_key,entry_premium,exit_premium,underlying_entry,underlying_exit,option_atr,underlying_atr,quantity,setup_score,signal_reason,regime,stop_loss,target,exit_reason,gross_pnl,brokerage,stt,exchange_charges,sebi_charges,gst,stamp_duty,slippage,total_cost,net_pnl,capital_before,capital_after,holding_time_mins,mfe_pct,mae_pct,option_return_pct,underlying_return_pct,option_underlying_ratio,is_expiry_day,entry_hour,gap_through_stop,same_candle_conflict
V8-A_0001,V8-A,DEVELOPMENT,2024-01-01,NIFTY50,2024-01-01T11:50:00+05:30,2024-01-01T11:55:00+05:30,2024-01-01T13:55:00+05:30,CE,21750.0,ATM,2024-01-04,NSE_FO|NIFTY2410421750CE,127.68,146.83,21737.45,21764.85,0.13,12.64,25,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,101.4,146.83,TARGET,478.8,3.43,5.51,3.43,0.01,1.24,0.1,0.69,14.41,464.39,100000.0,100464.39,120.0,65.34,-1.04,15.0,0.13,119.0,False,11:00,False,False
V8-A_0002,V8-A,DEVELOPMENT,2024-01-01,BANKNIFTY,2024-01-01T12:30:00+05:30,2024-01-01T12:35:00+05:30,2024-01-01T14:05:00+05:30,CE,48300.0,ATM,2024-01-03,NSE_FO|BANKNIFTY2410348300CE,258.55,297.33,48318.65,48327.2,26.14,35.81,15,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,204.92,297.33,TARGET,581.74,4.17,6.69,4.17,0.01,1.5,0.12,0.83,17.49,564.25,100464.39,101028.64,90.0,50.36,-9.8,15.0,0.02,847.7,False,12:00,False,False
V8-A_0003,V8-A,DEVELOPMENT,2024-01-01,NIFTY50,2024-01-01T14:40:00+05:30,2024-01-01T14:45:00+05:30,2024-01-01T15:20:00+05:30,CE,21800.0,ATM,2024-01-04,NSE_FO|NIFTY2410421800CE,144.42,124.57,21816.3,21684.9,2.84,13.8,25,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,114.62,166.08,INTRADAY_SQUARE_OFF,-496.25,3.36,4.67,3.36,0.01,1.21,0.11,0.67,13.39,-509.64,101028.64,100519.0,35.0,12.44,-13.9,-13.74,-0.6,22.82,False,14:00,False,False
V8-A_0004,V8-A,DEVELOPMENT,2024-01-02,NIFTY50,2024-01-02T11:00:00+05:30,2024-01-02T11:05:00+05:30,2024-01-02T11:15:00+05:30,PE,21600.0,ATM,2024-01-04,NSE_FO|NIFTY2410421600PE,107.28,123.37,21607.15,21581.45,7.72,26.59,25,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,84.5,123.37,TARGET,402.3,2.88,4.63,2.88,0.01,1.04,0.08,0.58,12.1,390.2,100519.0,100909.2,10.0,25.86,-1.04,15.0,-0.12,-126.11,False,11:00,False,False
V8-A_0005,V8-A,DEVELOPMENT,2024-01-02,BANKNIFTY,2024-01-02T12:00:00+05:30,2024-01-02T12:05:00+05:30,2024-01-02T13:00:00+05:30,PE,47900.0,ATM,2024-01-03,NSE_FO|BANKNIFTY2410347900PE,214.66,246.86,47869.4,47796.9,35.9,57.66,15,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,169.14,246.86,TARGET,482.98,3.46,5.55,3.46,0.01,1.25,0.1,0.69,14.52,468.46,100909.2,101377.66,55.0,82.06,-14.17,15.0,-0.15,-99.04,False,12:00,False,False
V8-A_0006,V8-A,DEVELOPMENT,2024-01-02,NIFTY50,2024-01-02T12:10:00+05:30,2024-01-02T12:15:00+05:30,2024-01-02T15:20:00+05:30,PE,21600.0,ATM,2024-01-04,NSE_FO|NIFTY2410421600PE,107.29,106.8,21613.7,21665.35,9.45,20.13,25,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,84.83,123.38,INTRADAY_SQUARE_OFF,-12.25,2.68,4.0,2.68,0.01,0.97,0.08,0.54,10.96,-23.21,101377.66,101354.45,185.0,0.0,-1.05,-0.46,0.24,-1.91,False,12:00,False,False
V8-A_0007,V8-A,DEVELOPMENT,2024-01-03,BANKNIFTY,2024-01-03T10:05:00+05:30,2024-01-03T10:10:00+05:30,2024-01-03T10:20:00+05:30,PE,47600.0,ATM,2024-01-03,NSE_FO|BANKNIFTY2410347600PE,139.34,160.24,47566.25,47552.4,58.03,66.89,30,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,109.51,160.24,TARGET,627.03,4.49,7.21,4.49,0.01,1.62,0.13,0.9,18.85,608.18,101354.45,101962.63,10.0,23.83,-24.75,15.0,-0.03,-515.16,True,10:00,False,False
V8-A_0008,V8-A,DEVELOPMENT,2024-01-03,NIFTY50,2024-01-03T10:10:00+05:30,2024-01-03T10:15:00+05:30,2024-01-03T10:15:00+05:30,PE,21600.0,ATM,2024-01-04,NSE_FO|NIFTY2410421600PE,97.2,111.78,21585.8,21563.05,16.65,22.62,25,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,76.74,111.78,TARGET,364.5,2.61,4.19,2.61,0.01,0.94,0.07,0.52,10.95,353.55,101962.63,102316.18,0.0,86.15,-5.77,15.0,-0.11,-142.32,False,10:00,False,False
V8-A_0009,V8-A,DEVELOPMENT,2024-01-03,NIFTY50,2024-01-03T11:20:00+05:30,2024-01-03T11:25:00+05:30,2024-01-03T12:20:00+05:30,PE,21550.0,ATM,2024-01-04,NSE_FO|NIFTY2410421550PE,82.9,95.33,21573.8,21528.45,0.98,18.26,50,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,65.62,95.33,TARGET,621.75,4.46,7.15,4.46,0.01,1.61,0.12,0.89,18.7,603.05,102316.18,102919.23,55.0,59.23,-0.12,15.0,-0.21,-71.36,False,11:00,False,False
V8-A_0010,V8-A,DEVELOPMENT,2024-01-04,BANKNIFTY,2024-01-04T10:35:00+05:30,2024-01-04T10:40:00+05:30,2024-01-04T11:00:00+05:30,CE,48000.0,ATM,2024-01-10,NSE_FO|BANKNIFTY2411048000CE,383.92,441.51,47967.2,48043.25,3.19,47.53,15,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,303.33,441.51,TARGET,863.82,6.19,9.93,6.19,0.01,2.23,0.17,1.24,25.96,837.86,102919.23,103757.09,20.0,71.24,-0.13,15.0,0.16,94.61,False,10:00,False,False
