timestamp,symbol,underlying,instrument_key,option_symbol,strike,option_type,expiry,strategy,entry_time,exit_time,entry_price,exit_price,quantity,lot_size,number_of_lots,instrument_type,stop_loss,target,trailing_stop,exit_reason,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_charges,stamp_duty,slippage,total_cost,charges,fees,net_pnl,confidence,setup_score,r_multiple
2024-10-03T12:40:00+05:30,NSE_FO|58530|03-10-2024,NIFTY50,NSE_FO|58530|03-10-2024,NIFTY24O0325400PE,25400.0,PE,2024-10-03,V8_D_PULLBACK_ATM,2024-10-03T12:40:00+05:30,2024-10-03T13:15:00+05:30,43.95,70.32,125,25,5,INDEX_OPTION,26.37,70.32,50.98,TARGET_HIT,3296.25,7.14,13.19,7.14,2.57,0.0143,0.16,1.43,31.64,31.64,30.21,3264.61,100.0,100.0,1.49
2024-10-03T14:55:00+05:30,NSE_FO|58523|03-10-2024,NIFTY50,NSE_FO|58523|03-10-2024,NIFTY24O0325250PE,25250.0,PE,2024-10-03,V8_D_PULLBACK_ATM,2024-10-03T14:55:00+05:30,2024-10-03T15:00:00+05:30,5.55,3.33,1150,25,46,INDEX_OPTION,3.33,8.88,3.33,STOP_LOSS_HIT,-2553.0,5.11,5.74,5.11,1.84,0.0102,0.19,1.02,19.02,19.02,18.0,-2572.02,100.0,100.0,-1.01
2024-10-04T09:15:00+05:30,NSE_FO|48531|10-10-2024,NIFTY50,NSE_FO|48531|10-10-2024,NIFTY24O1025150PE,25150.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-04T09:15:00+05:30,2024-10-04T09:55:00+05:30,157.9,113.69,50,25,2,INDEX_OPTION,113.69,224.22,113.69,STOP_LOSS_HIT,-2210.5,6.79,8.53,6.79,2.45,0.0136,0.24,1.36,26.17,26.17,24.81,-2236.67,100.0,100.0,-1.01
2024-10-04T10:10:00+05:30,NSE_FO|48536|10-10-2024,NIFTY50,NSE_FO|48536|10-10-2024,NIFTY24O1025200PE,25200.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-04T10:10:00+05:30,2024-10-04T10:55:00+05:30,157.75,113.58,50,25,2,INDEX_OPTION,113.58,224.0,113.58,STOP_LOSS_HIT,-2208.5,6.78,8.52,6.78,2.44,0.0136,0.24,1.36,26.13,26.13,24.77,-2234.63,100.0,100.0,-1.01
2024-10-07T09:45:00+05:30,NSE_FO|47173|10-10-2024,NIFTY50,NSE_FO|47173|10-10-2024,NIFTY24O1025050PE,25050.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T09:45:00+05:30,2024-10-07T10:45:00+05:30,157.9,224.22,50,25,2,INDEX_OPTION,113.69,224.22,157.9,TARGET_HIT,3316.0,9.55,16.82,9.55,3.44,0.0191,0.24,1.91,41.53,41.53,39.62,3274.47,100.0,100.0,1.48
2024-10-07T11:35:00+05:30,NSE_FO|47167|10-10-2024,NIFTY50,NSE_FO|47167|10-10-2024,NIFTY24O1024950PE,24950.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T11:35:00+05:30,2024-10-07T13:00:00+05:30,174.35,256.9,25,25,1,INDEX_OPTION,119.32,256.9,196.36,TARGET_HIT,2063.75,5.39,9.63,5.39,1.94,0.0108,0.13,1.08,23.57,23.57,22.49,2040.18,100.0,100.0,1.48
2024-10-07T14:10:00+05:30,NSE_FO|47149|10-10-2024,NIFTY50,NSE_FO|47149|10-10-2024,NIFTY24O1024750PE,24750.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T14:10:00+05:30,2024-10-07T14:50:00+05:30,172.4,124.13,50,25,2,INDEX_OPTION,124.13,244.81,124.13,STOP_LOSS_HIT,-2413.5,7.41,9.31,7.41,2.67,0.0148,0.26,1.48,28.55,28.55,27.07,-2442.05,100.0,100.0,-1.01
2024-10-07T15:00:00+05:30,NSE_FO|47151|10-10-2024,NIFTY50,NSE_FO|47151|10-10-2024,NIFTY24O1024800PE,24800.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T15:00:00+05:30,2024-10-07T15:15:00+05:30,175.65,154.0,25,25,1,INDEX_OPTION,121.66,256.63,121.66,INTRADAY_SQUARE_OFF,-541.25,4.12,5.78,4.12,1.48,0.0082,0.13,0.82,16.46,16.46,15.64,-557.71,100.0,100.0,-0.41
2024-10-08T09:15:00+05:30,NSE_FO|47151|10-10-2024,NIFTY50,NSE_FO|47151|10-10-2024,NIFTY24O1024800PE,24800.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-08T09:15:00+05:30,2024-10-08T09:45:00+05:30,186.35,129.68,25,25,1,INDEX_OPTION,129.68,271.36,129.68,STOP_LOSS_HIT,-1416.75,3.95,4.86,3.95,1.42,0.0079,0.14,0.79,15.12,15.12,14.33,-1431.87,100.0,100.0,-1.01
2024-10-08T14:20:00+05:30,NSE_FO|47172|10-10-2024,NIFTY50,NSE_FO|47172|10-10-2024,NIFTY24O1025050CE,25050.0,CE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-08T14:20:00+05:30,2024-10-08T14:40:00+05:30,123.9,89.21,50,25,2,INDEX_OPTION,89.21,175.94,89.21,STOP_LOSS_HIT,-1734.5,5.33,6.69,5.33,1.92,0.0107,0.19,1.07,20.54,20.54,19.47,-1755.04,100.0,100.0,-1.01
2024-10-09T09:40:00+05:30,NSE_FO|48516|10-10-2024,NIFTY50,NSE_FO|48516|10-10-2024,NIFTY24O1025100CE,25100.0,CE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-09T09:40:00+05:30,2024-10-09T10:05:00+05:30,104.85,148.89,75,25,3,INDEX_OPTION,75.49,148.89,75.49,TARGET_HIT,3303.0,9.52,16.75,9.52,3.43,0.019,0.24,1.9,41.38,41.38,39.48,3261.62,100.0,100.0,1.48
2024-10-09T10:30:00+05:30,NSE_FO|48530|10-10-2024,NIFTY50,NSE_FO|48530|10-10-2024,NIFTY24O1025150CE,25150.0,CE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-09T10:30:00+05:30,2024-10-09T11:40:00+05:30,107.0,120.82,50,25,2,INDEX_OPTION,72.45,158.83,120.82,TRAILING_STOP_HIT,691.0,5.7,9.06,5.7,2.05,0.0114,0.16,1.14,23.82,23.82,22.68,667.18,100.0,100.0,0.39
2024-10-14T11:05:00+05:30,NSE_FO|48310|17-10-2024,NIFTY50,NSE_FO|48310|17-10-2024,NIFTY24O1725100CE,25100.0,CE,2024-10-17,V8_D_PULLBACK_ATM,2024-10-14T11:05:00+05:30,2024-10-14T13:05:00+05:30,125.6,125.6,50,25,2,INDEX_OPTION,90.43,178.35,125.6,TRAILING_STOP_HIT,0.0,6.28,9.42,6.28,2.26,0.0126,0.19,1.26,25.7,25.7,24.44,-25.7,100.0,100.0,-0.01
