i,timestamp,direction,spot,open,high,low,prev_open,prev_high,prev_low,prev_close,ema20,ema50,rsi,ema_sep_pct,body_pct,upper_wick,lower_wick,close_loc,range_vs_atr,pullback_depth_pct,band_pos,sig_bull,prev_bull,u5,u10,u15,u30,u60,next_dirs,contract_found,premium,option_atr,strike,strike_dist,expiry,dte,instrument_key,o5,o10,o15,o30,o60,opt_next_dirs
116,2024-10-03T12:40:00+05:30,PE,25396.95,25410.2,25410.55,25393.7,25386.9,25414.3,25386.8,25409.9,25423.219166,25515.962198,38.5172,0.36347064351455866,0.7863501483680204,0.020771513353031158,0.1928783382789484,0.1928783382789484,0.7158143830856138,-0.04983305189353406,0.13898163783692663,False,True,-0.07619025119158868,-0.05394348533977792,-0.08701832306636105,-0.18663658431426394,-0.4437540728315831,"down,up,down",True,43.95,11.153384,25400.0,3.0499999999992724,2024-10-03,0.0,NSE_FO|58530|03-10-2024,0.0,21.84300341296927,21.84300341296927,21.27417519908986,40.386803185438,"flat,up,flat"
143,2024-10-03T14:55:00+05:30,PE,25246.75,25268.7,25273.85,25240.95,25245.2,25269.25,25239.25,25268.7,25276.137759,25359.468363,40.0141,0.32859759836913605,0.6671732522797016,0.15653495440723889,0.1762917933130595,0.1762917933130595,1.2491517443340174,-0.009051062396540216,0.1616382986685874,False,True,0.029904839236730558,0.06119599552417926,0.04634259855229179,0.07624743778902235,-0.22656381514452642,"up,up,down",True,5.55,8.017341,25250.0,3.25,2024-10-03,0.0,NSE_FO|58523|03-10-2024,0.0,-53.153153153153156,-53.153153153153156,-96.39639639639638,-99.09909909909909,"flat,down,flat"
150,2024-10-04T09:15:00+05:30,PE,25166.1,25181.9,25287.9,25164.2,25248.75,25274.1,25245.85,25266.0,25258.161976,25331.016632,44.4514,0.28761047003523804,0.1277283751010737,0.856911883589324,0.015359741309602312,0.015359741309602312,3.998810765962366,0.1177362946213535,0.23207571923408596,False,True,-0.10212150472261135,-0.14146013883755745,0.12973802059119793,0.15755321643004463,0.0395373140852207,"down,down,up",True,157.9,0.0,25150.0,-16.099999999998545,2024-10-10,6.0,NSE_FO|48531|10-10-2024,0.0,4.211526282457255,4.211526282457255,-6.58644711842939,-6.839772007599754,"flat,up,flat"
161,2024-10-04T10:10:00+05:30,PE,25213.7,25237.5,25237.9,25200.8,25257.7,25262.4,25237.0,25237.05,25231.566916,25288.901045,48.8465,0.22671656984214728,0.6415094339622068,0.010781671159068239,0.347708894878725,0.347708894878725,0.8936236436341198,0.02509984425892201,0.18061102458829267,False,False,-0.14932358202089124,-0.08110669992900973,-0.05790502782218469,0.27445396748593315,0.4715690279490825,"down,up,up",True,157.75,23.015226,25200.0,-13.700000000000728,2024-10-10,6.0,NSE_FO|48536|10-10-2024,0.0,9.477020602218692,9.477020602218692,5.388272583201268,-17.629160063391446,"flat,up,flat"
162,2024-10-04T10:15:00+05:30,PE,25176.05,25212.0,25222.0,25176.05,25237.5,25237.9,25200.8,25213.7,25226.279591,25284.475514,44.9731,0.2301646437861837,0.7823721436343887,0.21762785636561136,0.0,0.0,1.0984138927293707,-0.016964812367835053,0.15724177090676097,False,False,0.06831889831804722,0.09155526780412049,0.3268979843938953,0.45201689701124387,0.5969959544884892,"up,up,up",True,172.7,22.937363,25200.0,23.950000000000728,2024-10-10,6.0,NSE_FO|48536|10-10-2024,0.0,-2.431962941517075,-2.431962941517075,-20.353213665315565,-23.074696004632308,"flat,down,flat"
231,2024-10-07T09:45:00+05:30,PE,25038.0,25072.9,25072.9,25034.0,25081.25,25094.2,25063.5,25071.95,25057.615308,25107.200668,51.0219,0.19749457797260211,0.8971722365038599,0.0,0.10282776349614012,0.10282776349614012,1.0548893933556573,0.06099819081794759,0.2005545504544168,False,False,0.13219905743269647,0.15875868679606997,-0.015576323987544752,0.08267433501078651,-0.5505631440210821,"up,up,down",True,157.9,20.427557,25050.0,12.0,2024-10-10,3.0,NSE_FO|47173|10-10-2024,0.0,0.0,0.0,-12.3812539582014,-1.2666244458518048,"flat,flat,flat"
234,2024-10-07T10:00:00+05:30,PE,25034.1,25077.05,25086.25,25027.75,25073.0,25083.75,25057.25,25077.75,25058.162002,25101.917485,52.4433,0.17431131715793233,0.7341880341880467,0.1572649572649697,0.10854700854698367,0.10854700854698367,1.4978933090795814,0.11209121402342773,0.2289395633463478,False,True,0.02596458430700525,0.09866542036662285,0.09826596522344395,-0.06151609205043448,-0.7927187316500177,"up,up,down",True,155.9,22.363349,25050.0,15.900000000001455,2024-10-10,3.0,NSE_FO|47173|10-10-2024,0.0,0.0,0.0,-2.219371391917901,-3.880692751763958,"flat,flat,flat"
238,2024-10-07T10:20:00+05:30,PE,25049.5,25059.0,25066.95,25041.4,25059.45,25079.75,25053.1,25058.7,25056.194385,25094.540031,49.1632,0.15280473741551792,0.37181996086106733,0.31115459882586904,0.3170254403130636,0.3170254403130636,0.7047891873477037,0.04292597205599886,0.1905144289199983,False,False,-0.11517195952014429,-0.12295654603884018,-0.3135791133555531,-0.5758597976007506,-0.37266212898460466,"down,down,down",True,153.35,16.668092,25050.0,0.5,2024-10-10,3.0,NSE_FO|47173|10-10-2024,0.0,0.0,0.0,9.944571242256277,26.14933159439191,"flat,flat,flat"
239,2024-10-07T10:25:00+05:30,PE,25020.65,25049.45,25053.15,25019.5,25059.0,25066.95,25041.4,25049.5,25052.809206,25091.642383,47.1669,0.15476538525157252,0.8558692421990498,0.10995542347698567,0.0341753343239645,0.0341753343239645,0.9330086223028725,0.0013603025401163966,0.167422390300066,False,False,-0.007793562517363567,-0.19863592672452846,-0.19304054850694488,-0.494591467447888,-0.18164995713540907,"down,down,up",True,147.1,14.897818,25000.0,-20.650000000001455,2024-10-10,3.0,NSE_FO|47171|10-10-2024,0.0,0.0,0.0,2.379333786539769,15.363698164513934,"flat,flat,flat"
240,2024-10-07T10:30:00+05:30,PE,25018.7,25021.4,25035.55,24998.1,25049.45,25053.15,25019.5,25020.65,25049.56071,25088.781897,41.4788,0.15632957853840276,0.07209612817091256,0.37783711615480753,0.5500667556742799,0.5500667556742799,1.0355325075913444,-0.05593195889622565,0.13559335616876186,False,False,-0.19085723878538852,-0.18526142445451677,-0.4738455635184853,-0.7316527237626227,-0.20704513024257565,"down,up,down",True,150.6,16.642807,25000.0,-18.700000000000728,2024-10-10,3.0,NSE_FO|47171|10-10-2024,0.0,0.0,0.0,13.413014608233745,41.26826029216468,"flat,flat,flat"
241,2024-10-07T10:35:00+05:30,PE,24970.95,25018.35,25019.7,24968.55,25021.4,25035.55,24998.1,25018.7,25042.073976,25084.161039,41.1179,0.16778341892544663,0.9266862170087287,0.026392961876874767,0.04692082111439662,0.04692082111439662,1.3736954693590164,-0.08934553911725474,0.11703025604596941,False,False,0.005606514770154188,-0.28352946123395095,-0.2631057288569347,-0.42449326116947894,-0.13836077522080364,"up,down,up",True,150.4,17.10299,24950.0,-20.950000000000728,2024-10-10,3.0,NSE_FO|47167|10-10-2024,0.0,-0.6981382978723479,-0.6981382978723479,30.086436170212767,45.61170212765957,"flat,down,flat"
253,2024-10-07T11:35:00+05:30,PE,24936.4,24965.75,24966.9,24931.6,24979.55,24990.0,24941.3,24966.9,24958.859957,25021.221089,48.3128,0.2492329681999965,0.8314447592066891,0.032577903682758085,0.13597733711055282,0.13597733711055282,0.7254134270861259,0.03221318206782099,0.18456287892656997,False,False,0.0485234436406159,0.02025151986653756,-0.1457708410195625,-0.11990503841774056,-0.11048106382638596,"up,down,down",True,174.35,30.574035,24950.0,13.599999999998545,2024-10-10,3.0,NSE_FO|47167|10-10-2024,0.0,-4.186980212216795,-4.186980212216795,11.356466876971616,10.52480642386005,"flat,down,flat"
256,2024-10-07T11:50:00+05:30,PE,24900.05,24941.1,24958.7,24900.05,24948.0,24976.85,24935.55,24941.45,24950.951155,25010.831159,44.8792,0.23941628976394455,0.6999147485080691,0.3000852514919309,0.0,0.0,1.2110892160589863,0.03105631104748116,0.18392017280415632,False,False,0.01566261915137301,-0.0712849974196839,0.025903562442648624,0.15983903646779532,-0.3431720016626502,"up,down,up",True,169.65,25.803611,24900.0,-0.049999999999272404,2024-10-10,3.0,NSE_FO|47165|10-10-2024,0.0,0.5599764220453808,0.5599764220453808,0.17683465959327024,-13.645741231948131,"flat,up,flat"
258,2024-10-07T12:00:00+05:30,PE,24882.3,24904.1,24924.9,24882.25,24901.45,24913.6,24889.95,24903.95,24940.362964,25001.763673,39.8632,0.24558551069862902,0.5111371629542445,0.4876905041032169,0.0011723329425385861,0.0011723329425385861,0.919747967923104,-0.06199975526546416,0.13222235818585443,False,True,0.09725789014681412,0.17341644462128283,0.0994682967410569,0.05526016485614272,-0.35527262351148337,"up,up,down",True,183.4,24.639111,24900.0,17.700000000000728,2024-10-10,3.0,NSE_FO|47165|10-10-2024,0.0,-7.333696837513641,-7.333696837513641,-10.905125408942203,-8.369683751363137,"flat,down,flat"
