timestamp,symbol,underlying,instrument_key,option_symbol,strike,option_type,expiry,strategy,entry_time,exit_time,entry_price,exit_price,quantity,lot_size,number_of_lots,instrument_type,stop_loss,target,trailing_stop,exit_reason,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_charges,stamp_duty,slippage,total_cost,charges,fees,net_pnl,confidence,setup_score,r_multiple
2024-10-03T12:40:00+05:30,NSE_FO|58530|03-10-2024,NIFTY50,NSE_FO|58530|03-10-2024,NIFTY24O0325400PE,25400.0,PE,2024-10-03,V8_D_PULLBACK_ATM,2024-10-03T12:40:00+05:30,2024-10-03T12:45:00+05:30,43.95,43.95,200,25,8,INDEX_OPTION,31.64,62.41,43.95,TRAILING_STOP_HIT,0.0,8.79,13.19,8.79,3.17,0.0176,0.26,1.76,35.98,35.98,34.22,-35.98,100.0,100.0,-0.01
2024-10-03T14:55:00+05:30,NSE_FO|58523|03-10-2024,NIFTY50,NSE_FO|58523|03-10-2024,NIFTY24O0325250PE,25250.0,PE,2024-10-03,V8_D_PULLBACK_ATM,2024-10-03T14:55:00+05:30,2024-10-03T15:00:00+05:30,5.55,4.0,1600,25,64,INDEX_OPTION,4.0,7.88,4.0,STOP_LOSS_HIT,-2480.0,7.64,9.6,7.64,2.75,0.0153,0.27,1.53,29.45,29.45,27.92,-2509.45,100.0,100.0,-1.01
2024-10-04T09:15:00+05:30,NSE_FO|48531|10-10-2024,NIFTY50,NSE_FO|48531|10-10-2024,NIFTY24O1025150PE,25150.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-04T09:15:00+05:30,2024-10-04T09:55:00+05:30,157.9,113.69,50,25,2,INDEX_OPTION,113.69,224.22,113.69,STOP_LOSS_HIT,-2210.5,6.79,8.53,6.79,2.45,0.0136,0.24,1.36,26.17,26.17,24.81,-2236.67,100.0,100.0,-1.01
2024-10-04T10:10:00+05:30,NSE_FO|48536|10-10-2024,NIFTY50,NSE_FO|48536|10-10-2024,NIFTY24O1025200PE,25200.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-04T10:10:00+05:30,2024-10-04T10:55:00+05:30,157.75,113.58,50,25,2,INDEX_OPTION,113.58,224.0,113.58,STOP_LOSS_HIT,-2208.5,6.78,8.52,6.78,2.44,0.0136,0.24,1.36,26.13,26.13,24.77,-2234.63,100.0,100.0,-1.01
2024-10-07T09:45:00+05:30,NSE_FO|47173|10-10-2024,NIFTY50,NSE_FO|47173|10-10-2024,NIFTY24O1025050PE,25050.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T09:45:00+05:30,2024-10-07T10:45:00+05:30,157.9,224.22,50,25,2,INDEX_OPTION,113.69,224.22,157.9,TARGET_HIT,3316.0,9.55,16.82,9.55,3.44,0.0191,0.24,1.91,41.53,41.53,39.62,3274.47,100.0,100.0,1.48
2024-10-07T11:35:00+05:30,NSE_FO|47167|10-10-2024,NIFTY50,NSE_FO|47167|10-10-2024,NIFTY24O1024950PE,24950.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T11:35:00+05:30,2024-10-07T12:10:00+05:30,174.35,174.35,25,25,1,INDEX_OPTION,125.53,247.58,174.35,TRAILING_STOP_HIT,0.0,4.36,6.54,4.36,1.57,0.0087,0.13,0.87,17.84,17.84,16.97,-17.84,100.0,100.0,-0.01
2024-10-07T12:15:00+05:30,NSE_FO|47165|10-10-2024,NIFTY50,NSE_FO|47165|10-10-2024,NIFTY24O1024900PE,24900.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T12:15:00+05:30,2024-10-07T13:00:00+05:30,163.4,232.03,50,25,2,INDEX_OPTION,117.65,232.03,181.7,TARGET_HIT,3431.5,9.89,17.4,9.89,3.56,0.0198,0.25,1.98,42.99,42.99,41.01,3388.51,100.0,100.0,1.48
2024-10-07T14:10:00+05:30,NSE_FO|47149|10-10-2024,NIFTY50,NSE_FO|47149|10-10-2024,NIFTY24O1024750PE,24750.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T14:10:00+05:30,2024-10-07T14:50:00+05:30,172.4,124.13,50,25,2,INDEX_OPTION,124.13,244.81,124.13,STOP_LOSS_HIT,-2413.5,7.41,9.31,7.41,2.67,0.0148,0.26,1.48,28.55,28.55,27.07,-2442.05,100.0,100.0,-1.01
2024-10-07T15:00:00+05:30,NSE_FO|47151|10-10-2024,NIFTY50,NSE_FO|47151|10-10-2024,NIFTY24O1024800PE,24800.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-07T15:00:00+05:30,2024-10-07T15:15:00+05:30,175.65,154.0,25,25,1,INDEX_OPTION,126.47,249.42,126.47,INTRADAY_SQUARE_OFF,-541.25,4.12,5.78,4.12,1.48,0.0082,0.13,0.82,16.46,16.46,15.64,-557.71,100.0,100.0,-0.45
2024-10-08T09:15:00+05:30,NSE_FO|47151|10-10-2024,NIFTY50,NSE_FO|47151|10-10-2024,NIFTY24O1024800PE,24800.0,PE,2024-10-10,V8_D_PULLBACK_ATM,2024-10-08T09:15:00+05:30,2024-10-08T09:45:00+05:30,186.35,134.17,25,25,1,INDEX_OPTION,134.17,264.62,134.17,STOP_LOSS_HIT,-1304.5,4.01,5.03,4.01,1.45,0.008,0.14,0.8,15.45,15.45,14.65,-1319.95,100.0,100.0,-1.01
