i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
102,PE,E_Full_V9,-0.07438528824299517,0.005313234874493311,0.044670530241153195,0.11177471884132872,0.08205996083948675,0.07438528824299517,-0.044670530241153195,0.1306662206173259,-0.07438528824299517,0.0,-17.60023584905661,-8.018867924528308,-4.790683962264151,-7.9451650943396235,8.195754716981135,-27.32900943396227,True
120,PE,E_Full_V9,0.03784645770954498,0.13403953772128663,0.256252057408346,0.3717626002093466,0.4322775091511577,-0.03784645770954498,-0.256252057408346,0.4354313806269494,0.03784645770954498,0.0,12.345679012345679,39.50617283950616,94.8559670781893,115.63786008230453,142.38683127572014,-14.403292181069958,True
208,PE,E_Full_V9,-0.03774572165227141,0.11423572902167223,0.09406473491119227,0.183136649498028,0.06710350515958252,0.03774572165227141,-0.09406473491119227,0.20290821798253367,-0.03774572165227141,0.0,-3.614457831325301,11.191432396251678,0.8567603748326609,9.397590361445788,14.270414993306563,-9.02275769745649,True
215,PE,E_Full_V9,-0.016403969760681036,-0.0010002420585797367,-0.10802614232643393,-0.22065339812233908,-0.33548118644710634,0.016403969760681036,0.10802614232643393,0.035208520461949,-0.4387061668923886,0.0,-1.463933989885547,-3.194037796113921,0.6121905775885045,-11.791322863987228,3.5666755389938873,-15.091828586638274,True
231,PE,E_Full_V9,-0.13219905743269145,0.015576323987542828,-0.08267433501079058,0.0770828340921792,0.5505631440210768,0.13219905743269145,0.08267433501079058,0.5505631440210768,-0.15875868679606775,0.0,0.0,-12.3812539582014,-11.96960101329956,-1.2666244458518048,6.269791006966438,-15.737808739708672,True
239,PE,E_Full_V9,0.007793562517366404,0.19304054850693975,0.4945914674478913,0.5233676982812185,0.1816499571354102,-0.007793562517366404,-0.4945914674478913,0.7393892644675493,0.007793562517366404,0.0,0.0,2.379333786539769,16.111488783140732,15.363698164513934,18.932698844323586,-9.823249490142754,True
246,PE,E_Full_V9,-0.11797557140642567,-0.2689681969265889,-0.5284741893206046,-0.4260005274675738,-0.1878348261470819,0.11797557140642567,0.5284741893206046,-0.11797557140642567,-0.5618938904357274,0.0,-4.494072236007724,-16.432313206506745,-30.024813895781634,-32.09263854425144,14.86076647366971,-44.19630548662806,True
256,PE,E_Full_V9,-0.015662619151379786,-0.025903562442652905,-0.1598390364677904,-0.03534129449538348,0.3431720016626505,0.015662619151379786,0.1598390364677904,0.3431720016626505,-0.1598390364677904,0.0,0.5599764220453808,0.17683465959327024,-7.933981727085179,-13.645741231948131,10.050103153551419,-19.746536987916297,True
264,PE,E_Full_V9,-0.05141377849096074,0.2946250509618942,0.41030605256656694,0.46272400641869105,0.5306062608325335,0.05141377849096074,-0.41030605256656694,0.5306062608325335,-0.05141377849096074,0.0,-4.135673906575434,24.189229396013076,27.10502826539719,32.966379053853004,40.37488842606366,-8.59863135971438,True
277,PE,E_Full_V9,0.061626619466736976,0.020003394515433204,-0.29702010038066273,0.0523321129242138,-0.010506833482870626,-0.061626619466736976,0.29702010038066273,0.17033193511625244,-0.29702010038066273,0.0,6.813683912920561,7.124681933842236,-6.135142776364147,-14.509471303364432,19.366694939214025,-18.40542832909244,True
